date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Yellow_cards_home,Yellow_cards_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away
14.08.2022,00:30,AC Milan,Udinese,4:2,https://www.flashscore.co.uk/match/football/4x5ftr4o/#/match-summary,,,65%,35%,14,9,5,4,5,1,"86%,(430/501)","81%,(278/344)",,,7,4,2,1,0,1,16,13,2,1,1,4,12,17,21,13
16.04.2023,02:45,Inter,Monza,0:1,https://www.flashscore.co.uk/match/football/8KI9d4mD/#/match-summary,2.09,0.73,57%,43%,25,7,6,2,5,2,"87%,(452/518)","80%,(337/421)",,,11,3,8,2,1,1,13,4,1,6,2,2,8,16,19,16
19.03.2023,22:00,Fiorentina,Lecce,1:0,https://www.flashscore.co.uk/match/football/xIa4xOvp/#/match-summary,1.38,0.55,59%,41%,18,8,3,2,1,3,"83%,(383/464)","70%,(220/315)",,,10,2,5,4,2,2,14,21,2,2,1,3,22,17,39,23
30.04.2023,21:00,Napoli,Salernitana,1:1,https://www.flashscore.co.uk/match/football/M3MqTyOi/#/match-summary,1.59,0.30,73%,27%,24,5,8,2,10,0,"89%,(609/684)","70%,(184/263)",,,9,3,7,0,1,1,13,11,1,7,2,2,,,,
05.03.2023,03:45,Fiorentina,AC Milan,2:1,https://www.flashscore.co.uk/match/football/6eMNTgdC/#/match-summary,2.28,0.98,48%,52%,16,8,8,6,11,5,"80%,(281/351)","82%,(325/396)",,,6,2,2,0,0,1,12,17,5,6,3,3,16,12,20,21
20.03.2023,03:45,Inter,Juventus,0:1,https://www.flashscore.co.uk/match/football/6i48yrfj/#/match-summary,1.36,0.72,69%,31%,18,7,3,3,6,4,"88%,(546/620)","76%,(205/270)",1,1,7,2,8,2,0,1,6,18,2,3,3,4,19,6,22,19
10.10.2022,00:00,Cremonese,Napoli,1:4,https://www.flashscore.co.uk/match/football/f3NmUVBq/#/match-summary,,,30%,70%,12,21,1,10,5,2,"72%,(184/255)","89%,(555/623)",,,7,9,4,2,4,1,18,6,6,0,2,0,7,21,15,15
01.11.2022,03:45,Monza,Bologna,1:2,https://www.flashscore.co.uk/match/football/W2XrBZRP/#/match-summary,,,55%,45%,9,10,3,5,4,5,"86%,(439/511)","83%,(346/419)",,,4,5,2,0,2,0,13,18,3,2,4,2,16,17,26,12
23.04.2023,21:00,Monza,Fiorentina,3:2,https://www.flashscore.co.uk/match/football/2um7FIgh/#/match-summary,1.62,1.48,45%,55%,13,10,5,5,5,3,"79%,(262/330)","83%,(334/403)",,,5,3,3,2,0,0,18,15,3,2,3,3,14,17,23,26
18.02.2023,22:00,Sampdoria,Bologna,1:2,https://www.flashscore.co.uk/match/football/0zFcPv5Q/#/match-summary,2.49,0.85,40%,60%,9,12,4,5,1,8,"76%,(280/370)","83%,(450/540)",,,3,3,2,4,0,2,13,13,3,3,3,1,13,13,26,15
02.10.2022,18:30,Lazio,Spezia,4:0,https://www.flashscore.co.uk/match/football/8ni6jMSo/#/match-summary,,,61%,39%,13,14,6,2,3,6,"89%,(515/576)","80%,(287/357)",,,5,6,2,6,2,6,3,14,2,2,0,2,27,9,21,19
28.02.2023,01:30,Verona,Fiorentina,0:3,https://www.flashscore.co.uk/match/football/CY0lFfsJ/#/match-summary,1.17,1.49,47%,53%,12,16,3,7,4,2,"69%,(258/376)","71%,(315/441)",,,6,4,3,5,4,0,15,11,4,3,3,3,10,19,20,24
27.05.2023,21:00,Spezia,Torino,0:4,https://www.flashscore.co.uk/match/football/IRPtAHI5/#/match-summary,0.81,1.01,49%,51%,8,11,1,4,5,2,"74%,(238/322)","72%,(252/350)",,,4,3,3,4,4,1,14,13,1,1,2,2,15,19,32,14
01.05.2023,00:00,Fiorentina,Sampdoria,5:0,https://www.flashscore.co.uk/match/football/hlrW9ENT/#/match-summary,1.74,0.28,67%,33%,23,4,10,1,11,0,"87%,(473/544)","75%,(207/276)",,,7,2,6,1,5,0,14,9,1,5,2,1,,,,
03.09.2022,21:00,Fiorentina,Juventus,1:1,https://www.flashscore.co.uk/match/football/ny7sdo00/#/match-summary,,,60%,40%,17,4,5,1,10,2,"91%,(435/479)","85%,(290/341)",,,6,2,6,1,0,1,13,12,0,4,1,3,17,18,16,12
11.09.2022,21:00,Sassuolo,Udinese,1:3,https://www.flashscore.co.uk/match/football/SEjbNNba/#/match-summary,,,32%,68%,5,17,2,4,5,6,"76%,(176/232)","91%,(499/549)",1,0,1,9,2,4,0,4,7,15,1,1,1,3,23,8,21,12
19.03.2023,22:00,Torino,Napoli,0:4,https://www.flashscore.co.uk/match/football/lCwCe3oM/#/match-summary,1.25,2.63,48%,52%,12,12,2,6,5,4,"83%,(341/413)","85%,(388/459)",,,9,5,1,1,4,1,14,14,2,2,1,1,15,17,21,20
29.08.2022,00:30,Verona,Atalanta,0:1,https://www.flashscore.co.uk/match/football/4KFSryQq/#/match-summary,,,49%,51%,14,15,2,7,7,6,"72%,(267/372)","72%,(273/379)",,,10,5,2,3,2,0,15,7,6,2,3,3,7,17,19,23
15.10.2022,21:00,Empoli,Monza,1:0,https://www.flashscore.co.uk/match/football/rmYSQHMl/#/match-summary,,,36%,64%,11,16,5,4,2,9,"75%,(233/311)","87%,(472/543)",0,1,5,7,1,5,1,1,17,14,4,4,5,3,15,18,21,25
11.11.2022,01:30,Verona,Juventus,0:1,https://www.flashscore.co.uk/match/football/61FE1MfT/#/match-summary,,,43%,57%,15,11,2,3,5,4,"77%,(244/318)","80%,(351/437)",0,1,10,8,3,0,1,0,14,13,2,2,3,2,13,14,17,20
14.05.2023,00:00,Spezia,AC Milan,2:0,https://www.flashscore.co.uk/match/football/pvBPp1kf/#/match-summary,1.90,1.04,41%,59%,14,14,4,3,6,9,"70%,(188/269)","76%,(300/395)",,,6,6,4,5,1,2,15,11,3,2,1,1,13,17,26,24
18.02.2023,03:45,Sassuolo,Napoli,0:2,https://www.flashscore.co.uk/match/football/2q1PKbDs/#/match-summary,0.76,1.84,40%,60%,11,15,2,4,1,3,"83%,(344/416)","88%,(561/638)",,,6,8,3,3,2,2,12,10,2,2,2,2,18,20,18,23
11.03.2023,22:00,Empoli,Udinese,0:1,https://www.flashscore.co.uk/match/football/Y9bZO4Ap/#/match-summary,1.32,1.56,62%,38%,17,14,3,4,11,5,"85%,(383/451)","80%,(225/282)",,,8,6,6,4,0,2,12,13,3,3,2,4,15,12,24,23
10.11.2022,01:30,Sassuolo,AS Roma,1:1,https://www.flashscore.co.uk/match/football/zHwxJNP3/#/match-summary,,,46%,54%,14,10,6,4,3,2,"83%,(308/371)","87%,(375/431)",,,6,4,2,2,0,5,11,11,3,5,5,3,18,14,15,18
05.09.2022,00:00,Verona,Sampdoria,2:1,https://www.flashscore.co.uk/match/football/QR5oe5F6/#/match-summary,,,50%,50%,17,11,9,3,7,2,"66%,(231/350)","66%,(241/365)",,,3,5,5,3,4,2,16,11,2,7,2,2,13,19,17,29
