date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Yellow_cards_home,Yellow_cards_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away,Big_chances_home,Big_chances_away,Shots_inside_the_box_home,Shots_inside_the_box_away,Shots_outside_the_box_home,Shots_outside_the_box_away,Hit_the_woodwork_home,Hit_the_woodwork_away,Touches_in_opposition_box_home,Touches_in_opposition_box_away,Passes_in_final_third_home,Passes_in_final_third_away,Crosses_home,Crosses_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,xG_on_target_(xGOT)_home,xG_on_target_(xGOT)_away,Accurate_through_passes_home,Accurate_through_passes_away,Long_passes_home,Long_passes_away,Expected_assists_(xA)_home,Expected_assists_(xA)_away,Duels_won_home,Duels_won_away,Errors_leading_to_shot_home,Errors_leading_to_shot_away,Errors_leading_to_goal_home,Errors_leading_to_goal_away,xGOT_faced_home,xGOT_faced_away,Goals_prevented_home,Goals_prevented_away,Headed_goals_home,Headed_goals_away
14.04.2024,18:30,Napoli,Frosinone,2:2,https://www.flashscore.co.uk/match/football/vBqHJZDl/#/match-summary,2.24,2.15,66%,34%,20.0,13.0,9.0,6.0,6.0,2.0,"86%,(474/553)","71%,(202/286)",1.0,0.0,5.0,4.0,6.0,3.0,2.0,2.0,11.0,14.0,4.0,7.0,3.0,1.0,17.0,12.0,20.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.02.2024,03:45,Salernitana,Empoli,1:3,https://www.flashscore.co.uk/match/football/pIeCSFvT/#/match-summary,0.33,0.64,61%,39%,13.0,17.0,4.0,3.0,4.0,8.0,"89%,(500/562)","81%,(288/356)",,,5.0,8.0,4.0,6.0,2.0,1.0,10.0,17.0,0.0,3.0,3.0,2.0,17.0,12.0,22.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.10.2023,00:00,Atalanta,Juventus,0:0,https://www.flashscore.co.uk/match/football/bmAScUFe/#/match-summary,1.31,0.17,52%,48%,15.0,5.0,2.0,3.0,5.0,2.0,"87%,(472/543)","86%,(451/524)",,,9.0,0.0,4.0,2.0,0.0,1.0,13.0,7.0,3.0,2.0,1.0,2.0,8.0,15.0,26.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.08.2023,00:30,Fiorentina,Lecce,2:2,https://www.flashscore.co.uk/match/football/Wt6gSH8D/#/match-summary,,,58%,42%,9.0,6.0,4.0,2.0,3.0,3.0,"83%,(296/357)","76%,(199/262)",,,3.0,1.0,2.0,3.0,1.0,1.0,13.0,12.0,0.0,2.0,1.0,3.0,16.0,16.0,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.11.2023,03:45,Torino,Sassuolo,2:1,https://www.flashscore.co.uk/match/football/OUDqlEmN/#/match-summary,3.4,0.42,53%,47%,21.0,5.0,9.0,2.0,9.0,2.0,"83%,(373/452)","77%,(309/403)",,,7.0,3.0,5.0,0.0,3.0,0.0,9.0,6.0,1.0,7.0,1.0,1.0,7.0,11.0,29.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.03.2024,22:00,Torino,Monza,1:0,https://www.flashscore.co.uk/match/football/YgdA438p/#/match-summary,1.59,0.72,62%,38%,15.0,9.0,6.0,2.0,7.0,2.0,"89%,(493/554)","82%,(276/337)",0.0,1.0,3.0,3.0,6.0,4.0,1.0,2.0,9.0,11.0,2.0,5.0,0.0,3.0,11.0,10.0,9.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.2024,00:00,Salernitana,Fiorentina,0:2,https://www.flashscore.co.uk/match/football/tb8bWCcf/#/match-summary,0.24,1.13,27%,73%,5.0,12.0,1.0,7.0,2.0,5.0,"57%,(126/221)","85%,(514/605)",,,2.0,2.0,2.0,3.0,3.0,2.0,13.0,11.0,5.0,1.0,2.0,4.0,15.0,17.0,18.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.2024,00:00,Juventus,AC Milan,0:0,https://www.flashscore.co.uk/match/football/tbUTohcs/#/match-summary,1.25,0.31,51%,49%,18.0,9.0,7.0,0.0,9.0,4.0,"87%,(398/457)","88%,(393/447)",,,8.0,5.0,3.0,4.0,1.0,0.0,10.0,4.0,0.0,7.0,0.0,1.0,4.0,11.0,10.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.04.2024,21:00,Monza,Napoli,2:4,https://www.flashscore.co.uk/match/football/tIh6OOaG/#/match-summary,0.26,2.59,38%,62%,7.0,19.0,2.0,8.0,1.0,6.0,"80%,(275/344)","90%,(504/560)",,,4.0,4.0,1.0,7.0,1.0,4.0,10.0,8.0,4.0,0.0,3.0,1.0,15.0,11.0,18.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.2023,18:30,Bologna,Empoli,3:0,https://www.flashscore.co.uk/match/football/xv9WdlV1/#/match-summary,2.61,1.0,58%,42%,21.0,12.0,9.0,4.0,2.0,6.0,"85%,(437/512)","80%,(284/357)",,,10.0,4.0,2.0,4.0,2.0,1.0,11.0,16.0,4.0,6.0,2.0,4.0,17.0,13.0,27.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
