date,home_team,away_team,home_team_code,away_team_code,hour,day_code,Ball_possession_home,Total_shots_home,Total_shots_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Free_kicks_home,Free_kicks_away,result
2023-02-18,Sassuolo,Napoli,20,16,3,5,0.4,11.0,15.0,2.0,2.0,1.0,3.0,0.83,0.88,18.0,20.0,-1
2023-03-11,Empoli,Udinese,7,23,22,5,0.62,17.0,14.0,3.0,3.0,11.0,5.0,0.85,0.8,15.0,12.0,-1
2022-11-10,Sassuolo,AS Roma,20,1,1,3,0.46,14.0,10.0,3.0,5.0,3.0,2.0,0.83,0.87,18.0,14.0,-1
2022-09-05,Verona,Sampdoria,25,19,0,0,0.5,17.0,11.0,2.0,7.0,7.0,2.0,0.66,0.66,13.0,19.0,1
2022-10-02,Empoli,AC Milan,7,0,2,6,0.43,16.0,19.0,3.0,3.0,3.0,7.0,0.72,0.79,13.0,17.0,-1
2023-05-04,AC Milan,Cremonese,0,6,3,3,0.74,18.0,6.0,1.0,4.0,10.0,0.0,0.86,0.65,17.0,14.0,-1
2023-05-28,Verona,Empoli,25,7,18,6,0.38,13.0,13.0,2.0,3.0,3.0,3.0,0.68,0.77,12.0,17.0,-1
2022-08-21,Sassuolo,Lecce,20,14,2,6,0.59,12.0,7.0,1.0,2.0,5.0,4.0,0.86,0.84,16.0,14.0,1
2022-10-25,Cremonese,Sampdoria,6,19,0,1,0.52,21.0,8.0,3.0,4.0,5.0,1.0,0.76,0.74,16.0,20.0,-1
2023-01-28,Bologna,Spezia,3,21,1,5,0.58,18.0,6.0,4.0,4.0,5.0,5.0,0.81,0.73,25.0,16.0,1
2023-04-23,Empoli,Inter,7,11,18,6,0.39,11.0,16.0,1.0,3.0,5.0,4.0,0.85,0.9,14.0,6.0,-1
2023-01-15,Udinese,Bologna,23,3,22,6,0.51,20.0,15.0,0.0,3.0,6.0,4.0,0.78,0.74,20.0,12.0,-1
2023-02-05,Sassuolo,Atalanta,20,2,3,6,0.54,18.0,7.0,2.0,7.0,2.0,7.0,0.86,0.83,15.0,12.0,1
2023-06-03,Sassuolo,Fiorentina,20,8,2,5,0.51,5.0,15.0,4.0,1.0,2.0,4.0,0.86,0.9,20.0,11.0,-1
2023-03-12,Lecce,Torino,14,22,19,6,0.55,13.0,4.0,0.0,1.0,9.0,1.0,0.78,0.73,18.0,18.0,-1
2023-04-02,Inter,Fiorentina,11,8,0,6,0.59,16.0,19.0,2.0,3.0,10.0,8.0,0.83,0.76,7.0,12.0,-1
2023-01-08,Juventus,Udinese,12,23,1,6,0.5,14.0,11.0,3.0,3.0,6.0,4.0,0.85,0.87,13.0,18.0,1
2022-09-19,AS Roma,Atalanta,1,2,0,0,0.56,21.0,4.0,0.0,5.0,5.0,1.0,0.86,0.79,19.0,10.0,-1
2023-01-28,Lecce,Salernitana,14,18,3,5,0.6,15.0,10.0,4.0,4.0,4.0,4.0,0.81,0.69,12.0,15.0,-1
2023-04-18,Fiorentina,Atalanta,8,2,2,1,0.63,18.0,6.0,0.0,6.0,5.0,1.0,0.82,0.67,20.0,8.0,-1
2023-05-04,Lazio,Sassuolo,13,20,3,3,0.49,13.0,13.0,2.0,3.0,1.0,2.0,0.87,0.86,14.0,14.0,1
2022-10-08,Sassuolo,Inter,20,11,21,5,0.52,15.0,16.0,2.0,2.0,6.0,5.0,0.85,0.86,25.0,22.0,-1
2022-11-10,Fiorentina,Salernitana,8,18,3,3,0.58,18.0,4.0,0.0,5.0,4.0,3.0,0.86,0.76,14.0,13.0,1
2022-10-16,Spezia,Cremonese,21,6,21,6,0.54,15.0,24.0,2.0,4.0,6.0,8.0,0.72,0.7,13.0,15.0,-1
2023-04-02,Monza,Lazio,15,13,21,6,0.57,11.0,8.0,2.0,3.0,8.0,3.0,0.9,0.87,8.0,15.0,-1
2022-08-22,Empoli,Fiorentina,7,8,0,0,0.37,4.0,19.0,2.0,2.0,1.0,9.0,0.74,0.87,12.0,14.0,-1
2023-03-06,Inter,Lecce,11,14,1,0,0.62,14.0,11.0,1.0,2.0,6.0,4.0,0.84,0.75,12.0,13.0,1
2023-04-08,Atalanta,Bologna,2,3,22,5,0.49,15.0,13.0,4.0,6.0,6.0,0.0,0.81,0.81,9.0,7.0,-1
2023-02-14,Sampdoria,Inter,19,11,3,1,0.35,7.0,25.0,5.0,2.0,3.0,7.0,0.74,0.9,14.0,12.0,-1
2023-01-25,Lazio,AC Milan,13,0,3,2,0.5,10.0,10.0,3.0,1.0,3.0,4.0,0.84,0.84,12.0,15.0,1
2022-10-10,AS Roma,Lecce,1,14,2,0,0.67,20.0,6.0,2.0,4.0,13.0,4.0,0.89,0.71,11.0,13.0,1
2023-04-16,Torino,Salernitana,22,18,21,6,0.64,16.0,8.0,0.0,4.0,4.0,2.0,0.81,0.66,15.0,14.0,-1
2022-09-11,Sampdoria,AC Milan,19,0,2,6,0.57,10.0,15.0,2.0,3.0,2.0,4.0,0.88,0.83,15.0,17.0,-1
2023-02-11,AC Milan,Torino,0,22,3,5,0.46,9.0,12.0,2.0,3.0,3.0,8.0,0.77,0.82,20.0,11.0,1
2023-01-04,Sassuolo,Sampdoria,20,19,19,2,0.67,16.0,9.0,2.0,3.0,9.0,1.0,0.84,0.71,24.0,17.0,-1
2022-08-27,Lazio,Inter,13,11,2,5,0.48,11.0,19.0,6.0,4.0,2.0,4.0,0.88,0.89,12.0,5.0,1
2022-09-06,Monza,Atalanta,15,2,0,1,0.6,11.0,13.0,4.0,3.0,4.0,9.0,0.82,0.78,11.0,9.0,-1
2023-01-04,Salernitana,AC Milan,18,0,19,2,0.44,8.0,16.0,8.0,0.0,6.0,2.0,0.77,0.8,17.0,22.0,-1
2023-04-08,Fiorentina,Spezia,8,21,20,5,0.65,19.0,4.0,2.0,4.0,8.0,4.0,0.81,0.64,29.0,14.0,-1
2022-11-09,Cremonese,AC Milan,6,0,3,2,0.27,6.0,16.0,5.0,1.0,2.0,4.0,0.63,0.86,12.0,19.0,-1
2023-04-30,AS Roma,AC Milan,1,0,0,6,0.36,11.0,11.0,0.0,0.0,1.0,5.0,0.75,0.87,14.0,13.0,-1
2023-01-08,Monza,Inter,15,11,3,6,0.55,13.0,11.0,1.0,2.0,3.0,5.0,0.83,0.82,23.0,14.0,-1
2023-01-14,Napoli,Juventus,16,12,3,5,0.6,14.0,11.0,1.0,5.0,2.0,5.0,0.88,0.82,15.0,13.0,1
