date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Big_chances_home,Big_chances_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Yellow_cards_home,Yellow_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Shots_inside_the_box_home,Shots_inside_the_box_away,Shots_outside_the_box_home,Shots_outside_the_box_away,Hit_the_woodwork_home,Hit_the_woodwork_away,Touches_in_opposition_box_home,Touches_in_opposition_box_away,Offsides_home,Offsides_away,Free_kicks_home,Free_kicks_away,Passes_in_final_third_home,Passes_in_final_third_away,Crosses_home,Crosses_away,Throw_ins_home,Throw_ins_away,Fouls_home,Fouls_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Interceptions_home,Interceptions_away,Goalkeeper_saves_home,Goalkeeper_saves_away,xG_on_target_(xGOT)_home,xG_on_target_(xGOT)_away,Accurate_through_passes_home,Accurate_through_passes_away,Long_passes_home,Long_passes_away,Expected_assists_(xA)_home,Expected_assists_(xA)_away,Duels_won_home,Duels_won_away,Errors_leading_to_shot_home,Errors_leading_to_shot_away,Errors_leading_to_goal_home,Errors_leading_to_goal_away,xGOT_faced_home,xGOT_faced_away,Goals_prevented_home,Goals_prevented_away,Red_cards_home,Red_cards_away,Headed_goals_home,Headed_goals_away
08.12.2024,22:00,Verona,Empoli,1:4,https://www.flashscore.co.uk/match/football/GMVVXBom/#/match-summary,0.74,1.28,50%,50%,12,15,3,5,1,1,5,8,"82%,(362/440)","78%,(345/443)",2,2,8,8,1,2,9,9,3,6,0,0,21,18,0,0,16,15,"71%,(75/105)","55%,(51/93)","24%,(6/25)","20%,(4/20)",20,21,15,16,"50%,(6/12)","69%,(11/16)",24,22,8,9,1,2,,,,,,,,,,,,,,,,,,,,,,
17.09.2024,02:45,Lazio,Verona,2:1,https://www.flashscore.co.uk/match/football/rgFQPs4S/#/match-summary,1.50,0.82,55%,45%,14,7,7,2,,,9,6,"87%,(437/502)","83%,(348/419)",2,2,4,4,3,1,,,,,,,,,0,3,15,15,,,,,15,10,13,10,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,
15.12.2024,01:00,Udinese,Napoli,1:3,https://www.flashscore.co.uk/match/football/WAmveckS/#/match-summary,1.34,2.16,29%,71%,7,17,3,4,3,3,3,9,"69%,(170/245)","90%,(511/570)",1,1,2,10,2,3,6,15,1,2,0,0,11,32,0,2,8,14,"44%,(24/54)","73%,(95/130)","27%,(3/11)","21%,(7/33)",15,24,14,8,"62%,(13/21)","65%,(11/17)",35,12,12,5,2,2,,,,,,,,,,,,,,,,,,,,,,
24.04.2025,00:30,Genoa,Lazio,0:2,https://www.flashscore.co.uk/match/football/boZzbIHM/#/match-summary,0.51,1.05,38%,62%,8,15,4,6,1,1,6,8,"81%,(254/315)","90%,(469/524)",3,1,4,6,0,3,6,9,2,6,0,0,20,29,0,2,10,16,"67%,(52/78)","80%,(134/167)","24%,(6/25)","35%,(8/23)",12,17,16,10,"43%,(6/14)","64%,(7/11)",23,23,3,6,4,4,1.13,1.66,0,0,"53%,(20/38)","54%,(25/46)",0.67,1.28,42,38,0,1,0,1,1.66,1.13,-0.34,1.13,1,1,,
30.12.2024,03:45,AC Milan,AS Roma,1:1,https://www.flashscore.co.uk/match/football/foxKCMGU/#/match-summary,2.01,1.38,45%,55%,21,12,7,5,2,3,6,5,"87%,(308/354)","89%,(379/425)",4,4,8,6,6,1,11,8,10,4,0,1,42,19,1,6,8,17,"77%,(82/107)","86%,(70/81)","24%,(4/17)","12%,(2/17)",18,10,17,8,"50%,(5/10)","59%,(10/17)",21,28,6,5,4,6,,,,,,,,,,,,,,,,,,,,,,
30.10.2024,01:30,Cagliari,Bologna,0:2,https://www.flashscore.co.uk/match/football/Ug79dz7j/#/match-summary,0.91,0.85,42%,58%,14,11,2,4,,,7,2,"75%,(273/365)","86%,(437/511)",2,2,7,4,5,3,,,,,,,,,1,1,18,17,,,,,19,17,17,18,,,,,8,5,2,2,,,,,,,,,,,,,,,,,,,,,,
05.11.2024,01:30,Empoli,Como,1:0,https://www.flashscore.co.uk/match/football/jqCRLjz2/#/match-summary,0.61,0.37,41%,59%,9,12,4,2,,,3,6,"76%,(244/321)","84%,(386/462)",1,0,4,6,1,4,,,,,,,,,1,1,9,17,,,,,28,20,17,9,,,,,12,10,2,3,,,,,,,,,,,,,,,,,,,,,,
16.03.2025,01:00,AC Milan,Como,2:1,https://www.flashscore.co.uk/match/football/voxb2IjI/#/match-summary,0.92,1.07,42%,58%,9,15,3,6,3,2,0,5,"82%,(264/321)","88%,(386/438)",3,3,4,3,2,6,8,7,1,8,1,0,17,23,0,2,7,21,"61%,(34/56)","78%,(119/152)","0%,(0/3)","7%,(1/15)",15,15,21,7,"78%,(18/23)","58%,(11/19)",23,7,5,8,5,1,,,,,,,,,,,,,,,,,,,0,1,,
22.09.2024,00:00,Juventus,Napoli,0:0,https://www.flashscore.co.uk/match/football/Yqo4RFdU/#/match-summary,0.47,0.43,65%,35%,9,8,1,1,,,4,3,"85%,(621/728)","83%,(313/379)",1,0,4,2,4,5,,,,,,,,,0,2,18,11,,,,,16,13,10,13,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
03.05.2025,21:00,Parma,Como,0:1,https://www.flashscore.co.uk/match/football/WUw6UA9b/#/match-summary,2.71,0.82,39%,61%,13,13,3,4,4,2,5,5,"82%,(248/304)","86%,(425/492)",1,1,6,5,4,4,9,9,4,4,1,0,26,22,0,2,14,16,"63%,(40/64)","73%,(90/124)","50%,(7/14)","15%,(2/13)",12,14,16,14,"71%,(15/21)","67%,(10/15)",34,21,5,5,3,3,0.24,0.91,0,2,"54%,(25/46)","35%,(14/40)",1.92,0.89,54,48,2,0,0,0,0.91,0.24,-0.09,0.24,,,,
19.05.2025,02:45,Lecce,Torino,1:0,https://www.flashscore.co.uk/match/football/E9aC2eLs/#/match-summary,0.91,0.49,42%,58%,10,10,4,4,1,0,3,4,"74%,(241/326)","78%,(353/455)",1,1,4,4,2,2,6,6,4,4,0,0,21,15,2,1,8,13,"65%,(75/116)","55%,(64/117)","16%,(3/19)","50%,(8/16)",26,23,13,8,"78%,(7/9)","60%,(6/10)",24,24,9,6,4,3,1.31,0.60,1,0,"38%,(23/60)","47%,(34/73)",0.40,0.71,32,49,0,0,0,0,0.60,1.31,0.60,0.31,,,,
